dataset,kernel,run,accuracy,f1_score,train_time,random_seed
haberman,GEGEN,15,74.22580645161291,69.44173442600359,0.1696897998917848,57
haberman,GEGEN,16,75.18279569892472,71.1243766769741,0.1660237000323832,58
haberman,GEGEN,17,73.52688172043011,68.37181232838573,0.1674681999720633,59
haberman,GEGEN,18,74.81720430107526,70.05102594276342,0.16811710014007986,60
haberman,GEGEN,19,75.16129032258065,71.01055232539942,0.16796019999310374,61
haberman,GEGEN,20,74.7956989247312,70.03798579661958,0.17189400014467537,62
haberman,GEGEN,21,75.17204301075269,70.932765412021,0.16535639995709062,63
haberman,GEGEN,22,74.52688172043011,70.06891687719336,0.17095980001613498,64
haberman,GEGEN,23,74.50537634408603,69.83034393900684,0.16690139984712005,65
haberman,GEGEN,24,74.88172043010752,70.50388333581141,0.16534249996766448,66
haberman,GEGEN,25,75.45161290322581,71.21582211366119,0.1684940999839455,67
haberman,GEGEN,26,73.48387096774194,69.19529182090356,0.16854019998572767,68
haberman,GEGEN,27,74.82795698924731,70.56864250515105,0.1667422999162227,69
haberman,GEGEN,28,74.81720430107526,70.18662786429084,0.1702725999057293,70
haberman,GEGEN,29,75.46236559139786,70.96250387069163,0.16752829984761775,71
haberman,GEGEN,30,73.56989247311829,69.11725325526355,0.16656100004911423,72
haberman,GEGEN,31,74.84946236559139,70.89222344794295,0.1720898998901248,73
haberman,GEGEN,32,74.18279569892474,69.34783251055201,0.1661296000238508,74
haberman,GEGEN,33,73.8494623655914,69.44753252553977,0.16923559992574155,75
haberman,GEGEN,34,74.17204301075269,69.59875774762125,0.17278310004621744,76
